id карточки,id связи с точкой (поле id в выгрузке),id точки,Координаты точки,Кадастровый номер ОКСа,Наименование ОКСа,Площадь ОКСа,Адрес ОКСа из ГКН,Иной найденный адрес,Комментарий,Инвентарный номер БТИ,Иные сведения ОКС,Кадастровый номер ЗУ,ВРИ,Площадь ЗУ,Адрес ЗУ из ГКН,Район/округ,Поселение,Населенный пункт,Эл# план стр#,Улица,Номер здания,Адрес ФИАС,Полнота исходного адреса,Почтовый индекс,Номер заявки в РЛДД,Дата заявки,Дата передачи в ОМС для внесения а,ОКТМО,Код ФИАС,Код КЛАДР,ОКАТО,Статус,Объект отмечен на отправку,Объект адресации в ФИАС,Признак принадлежности объекта,"Дата документа, на основании котор","Номер документа, на основании кото",Объект отправлен,Результат получен,Дата отправки,Дата получения результата,Статус техпроцесса Адресации,Дата создания карточки,ФИО пользователя создавшего карточку,Дата последней версии строки,Тип последнего изменения,Дата отчета Желтые,Дата отчета Синие,Дата отчета Зеленые,Для загрузки в РГИС,Stamp,Ошибка,Автор изменения строки
917629350,738973151,574278601,POINT(37.6848380262738 55.5475971841474),50:21:0010123:613,Гараж,56.7,"Московская область, р-н Ленинский, г Видное, ул Булатниковская, д 7/2",,,,,50:21:0010123:106,личное подсобное хозяйство,2779,"обл. Московская, р-н Ленинский, г. Видное, ул. Булатниковская, дом 7\2",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Apr 11 2020  2:10PM,Макеева Надежда Михайловна,6/11/2020,2,Апрель 2020,,,,,,MOBTI\s.pakhomov
668961014,668961014,574278607,POINT(37.6858663916962 55.5478103051924),50:21:0010220:230,Станционное здание,59,"Московская область, р-н Ленинский, г Видное",,,,,50:21:0010220:7,,88.2,"обл. Московская, р-н Ленинский, г. Видное",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Jan 18 2020 10:41PM,Администратор,6/11/2020,2,,,,,,,MOBTI\s.pakhomov
1304309590,738973731,574278621,55.54861 37.6845,50:08:0000000:163774,парикмахерская,463,"Московская область, Ленинский район, г.Видное, ул.Вокзальная, д.1",,,,,50:21:0010220:12,для размещения парикмахерской,442,"обл. Московская, р-н Ленинский, г. Видное-2, ул. Вокзальная, дом 1",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,08/06/20 20:21,Макеева Надежда Михайловна,6/9/2020,2,,,,,,,MOBTI\s.pakhomov
719073613,719073613,574278625,POINT(37.6810699354495 55.5501281898942),,,,,"Московская область,  Ленинский муниципальный район, городское поселение Видное, г. Видное, ул. Героя России В.А.Тинькова, д. 2 А",,,,50:21:0010109:113,Общественное питание,43914,"Московская область, Ленинский муниципальный район, городское поселение Видное, г. Видное, ул. Героя России В.А. Тинькова, уч. № 2А",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Feb 22 2020  9:48AM,Администратор,6/11/2020,2,,,,,,,MOBTI\s.pakhomov
668961066,668961066,574278647,POINT(37.693989845217 55.5419612287659),50:21:0010222:269,нежилое здание,5732.8,"Московская область, Ленинский муниципальный район , городское поселение Видное, город Видное, улица Донбасская, дом 75",,,,,50:21:0010222:3,,1256.9,"обл. Московская, р-н Ленинский, г. Видное, пересечение ул.Донбасская и проспекта Ленинского комсомола",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Jan 18 2020 10:41PM,Администратор,6/13/2020,2,,,,,,,MOBTI\s.pakhomov
668971161,668971161,575707473,POINT(37.7487605736819 55.5656643705892),50:21:0020101:590,Акт определения кадастровой стоимости объектов недвижимости,613.8,"Московская область , Ленинский муниципальный район , городское поселение Видное , г.Видное , северная промзона",,,,,50:21:0020101:532,,606.1,"Московская область, Ленинский муниципальный район, городское поселение Видное, г. Видное, северная промзона",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Jan 18 2020 10:41PM,Администратор,6/11/2020,2,,,,да        ,,,MOBTI\s.pakhomov
668991017,668991017,575707477,POINT(37.7009420825797 55.5457014269088),50:21:0000000:38031,Жилой дом причта,1157.9,"Московская область, р-н Ленинский, г. Видное, пр-кт Ленинского Комсомола",,,,,50:21:0000000:28371,,736,"Московская обл, Ленинский р-н, Видное г, городское поселение Видное, Ленинского Комсомола пр-кт, участок№64/2-юр",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Jan 18 2020 10:41PM,Администратор,6/11/2020,2,,,,,,,MOBTI\s.pakhomov
719081896,719081896,575707479,POINT(37.6946101526434 55.5422740400272),,,,,"Московская область, Ленинский муниципальный район , городское поселение Видное, город Видное, улица Донбасская, дом 75",,,,50:21:0010222:3,"для строительства придорожного сервиса (станции техобслуживания автомобилей,магазина автозапчасти,продукты,кафе-бара)",260.7,"обл. Московская, р-н Ленинский, г. Видное, пересечение ул.Донбасская и проспекта Ленинского комсомола",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Feb 22 2020  9:48AM,Администратор,6/11/2020,2,,,,,,,MOBTI\s.pakhomov
668909606,668909606,575707481,POINT(37.7336624270731 55.5546913719575),50:21:0040112:10377,Нежилое здание,209.5,"Московская область, р-н Ленинский, г Видное, ул Заводская",,,,,50:21:0040112:760,,73.9,"обл. Московская, р-н Ленинский, городское поселение Видное, г. Видное, ул. Заводская, район ЦРБ",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Jan 18 2020 10:41PM,Администратор,6/11/2020,2,,,,,,,MOBTI\s.pakhomov
719043472,719043472,575707483,POINT(37.7306311646808 55.5531751154673),,,,,"Российская Федерация, Московская область, Ленинский муниципальный район, городское поселение Видное, г. Видное, ул. Заводская, дом № 17",,,,50:21:0000000:28171,для размещения объектов здравохранения,96.4,"Московская область, Ленинский муниципальный район, городское поселение Видное, г. Видное, ул. Заводская, участок 17",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Feb 22 2020  9:47AM,Администратор,6/11/2020,2,,,,,,,MOBTI\s.pakhomov
